suburb,median_price,annual_change_pct
Spring Gully,797500,30.7
Springvale,893000,0.9
Springvale South,800000,-1.2
St Albans,646000,-2.1
St Albans Park,577500,-15.4
St Andrews Beach,1795000,15.8
St Arnaud,285200,-12.2
St Helena,1200000,1.7
St Kilda,1600000,-15.8
St Kilda East,1576000,8.8
St Kilda West,2300000,-20.7
St Leonards,750000,0
Stanhope,385000,77.4
Stawell,289000,-23.9
Stratford,475000,-9.5
Strathdale,635000,-0.8
Strathfieldsaye,675000,1.1
Strathmerton,432500,
Strathmore,1360000,-15.3
Strathmore Heights,940000,-9.4
Strathtulloh,610000,2.5
Studfield,1012500,4.1
Sunbury,647800,-2.6
Sunderland Bay,685000,4.6
Sunnycliffs,325000,26.7
Sunset Strip,700000,7.7
Sunshine,800000,-7.1
Sunshine North,751500,0.8
Sunshine West,723000,3.3
Surf Beach,817500,-9.9
Surrey Hills,2353000,-0.5
Swan Hill,438800,13.5
Sydenham,751500,8.3
Syndal,1725000,-21.4
Tallangatta,509500,13.9
Tangambalanga,649500,-9
Tarneit,650000,1.6
Tatura,447500,-1.6
Tawonga South,383100,-40.7
Taylors Hill,941000,0.8
Taylors Lakes,933800,-0.3
Tecoma,826000,2
Templestowe,1675500,14
Templestowe Lower,1371000,8
Terang,330000,-14.3
The Basin,853000,3.4
Thomastown,692000,5.5
Thomson (Greater Geelong),525000,-5.8
Thornbury,1393500,-3.9
Thornhill Park,606500,5.5
Timboon,425000,-3.4
Tongala,470000,34.5
Toora,540000,25.6
Tooradin,947500,-8.1
Toorak,4815000,-22.5
Tootgarook,945000,15.7
Torquay,1206000,-5
Trafalgar,550000,-3.1
Traralgon,515000,7.3
Traralgon East,727500,-0.8
Trentham,1060000,-11.5
Truganina,645000,-0.8
Tullamarine,730000,3.5
Tyabb,825000,10.7
Upper Ferntree Gully,890000,8
Upwey,947500,9.5
Ventnor,771000,-7.1
Venus Bay,600000,2.1
Vermont,1205000,-2.2
Vermont South,1533000,12.9
Viewbank,1220000,13
Violet Town,499500,28.9
Wahgunyah,310000,-44.9
Wallan,620000,0
Wallan East,605000,0.8
Wandana Heights,1090000,-0.9
Wandin North,765000,-4.4
Wangaratta,525000,1.4
Wantirna,1180000,5.4
Wantirna South,1355000,20.3
Warburton,616300,-12.4
Warracknabeal,218500,-6
Warragul,651300,1.4
Warrandyte,1180000,-2.9
Warranwood,1270000,-18.6
Warrnambool,615000,-2.4
Waterways,1680000,47.4
Watsonia,963500,19
Watsonia North,920300,7.9
Wattle Glen,877500,-6.5
Waurn Ponds,837500,0.5
Wedderburn,305000,-34.4
Weir Views,575000,-5.7
Wendouree,452500,-5.7
Wendouree West,377500,3.9
Werribee,611000,1.8
Werribee South,955000,-1
West Footscray,905000,-4.5
West Melbourne,1215000,-11
West Wodonga,515000,-1.4
Westall,853300,-2.5
Westgarth,1670000,-6
Westmeadows,700000,5.3
Wheelers Hill,1595000,10
White Hills,547000,8.6
Whittington,500000,-2
Whittlesea,710500,0.8
Williams Landing,740000,-4.8
Williamstown,1600000,-13.4
Williamstown North,1000000,-16.5
Wimbledon Heights,650000,
Winchelsea,670000,7.2
Windsor,1500000,2.4
Winter Valley,581500,-7.7
Wodonga,560000,8.9
Wollert,705000,-3.4
Wonga Park,1271000,-22.5
Wonthaggi,520000,-3.7
Woodend,1085000,26.9
Woolamai Waters,715000,-10.6
Woori Yallock,704200,15.4
Wy Yung,607500,32.2
Wyndham Vale,600000,5.3
Yackandandah,770000,21.6
Yallambie,1066000,19.9
Yallourn North,310000,-12.7
Yarra Glen,800000,2.6
Yarra Junction,685000,5.8
Yarragon,649000,18
Yarram,347500,-24.7
Yarraville,1085000,3.3
Yarrawonga,672500,8.6
Yea,507500,-23.1
Yinnar,560000,9.8
